Hotel Name,Location,Price,Rating,Discount Percentage,City
Hotel Phoneix,"Chandkheda, Ahmedabad","₹ 1,295",2.5,19% off,Ahmedabad
Hotel Avens Inn,"Chandkheda, Ahmedabad",₹ 957,2.5,13% off,Ahmedabad
TreeHouse Morina,Ahmedabad,"₹ 2,728",2.5,42% off,Ahmedabad
FabHotel Apollo,Ahmedabad,"₹ 3,514",2.5,13% off,Ahmedabad
Hotel Airport Plaza,"Hansol, Ahmedabad","₹ 2,202",2.5,40% off,Ahmedabad
FabHotel Skyland,Ahmedabad,"₹ 4,610",2.5,13% off,Ahmedabad
Treebo Premium Bizz,"Sindhubhavan Road, Ahmedabad","₹ 2,819",2.5,65% off,Ahmedabad
Hotel Savera,"Ring Road, Ahmedabad",₹ 815,2.5,51% off,Ahmedabad
"Ginger Ahmedabad, RTO circle","Rto Cir, Ahmedabad","₹ 3,692",4.2,14% off,Ahmedabad
Super Hotel O Naroda GIDC Formerly Yuvraj,Ahmedabad,"₹ 1,059",2.5,13% off,Ahmedabad
Clubhouse by CheckIn Nami Residency - Sabarmati Riverfront Ahmedabad,"Ashram Road, Ahmedabad","₹ 11,854",4.0,16% off,Ahmedabad
Treebo Kbc,"Thaltej, Ahmedabad","₹ 3,597",2.5,64% off,Ahmedabad
Hotel Insta Stay Inn,Ahmedabad,"₹ 2,622",2.5,13% off,Ahmedabad
Ginger Ahmedabad Changodar,"Changodhar, Ahmedabad","₹ 3,112",2.5,16% off,Ahmedabad
Super Hotel O Nana Chiloda Near Airport Formerly Green Valley,Ahmedabad,"₹ 1,304",2.5,16% off,Ahmedabad
Super Collection O Ahmedabad Airport Formerly Hotel Runway Inn,Ahmedabad,"₹ 1,727",2.5,19% off,Ahmedabad
Hotel White House,Ahmedabad,"₹ 2,404",2.5,17% off,Ahmedabad
"Clarks Safari Kheda , Ahmedabad","Vasna, Ahmedabad","₹ 9,442",2.5,14% off,Ahmedabad
Hotel Crown,"Navrangpura, Ahmedabad","₹ 1,930",2.5,58% off,Ahmedabad
Palette by CheckIn River Front Railway Station Formerly Host Inn,"Ahmedabad Railway Station, Ahmedabad","₹ 3,024",2.5,14% off,Ahmedabad
Townhouse Prahladnagar,"Jivraj Park, Ahmedabad","₹ 1,612",2.5,16% off,Ahmedabad
