Hotel Name,Location,Price,Rating,Discount Percentage,City,Price_Category,Price_Band
Hotel Fun Regency,Ahmedabad,1765,4.8,20,Ahmedabad,Budget,0-2K
"Treebo Eden Park, Ahmedabad",Ahmedabad,1602,2.5,64,Ahmedabad,Budget,0-2K
Super Hotel O Jamalpur Ahmedabad Formerly Hotel Peace,"Jamalpur, Ahmedabad",1222,2.5,18,Ahmedabad,Budget,0-2K
Club Mahindra Kensville Golf Resort,"Sarkhej Gandhinagar Highway, Ahmedabad",8439,4.1,25,Ahmedabad,Luxury,5K-10K
Super Collection O Maninagar East Formerly Maninagar Residency,Ahmedabad,1342,2.5,18,Ahmedabad,Budget,0-2K
FabHotel Crystal,Ahmedabad,3198,2.5,13,Ahmedabad,Mid-range,2K-5K
Treebo Terrazzo Suites,Ahmedabad,2872,2.5,65,Ahmedabad,Mid-range,2K-5K
Hotel Venue Inn,"Vastrapur, Ahmedabad",2552,2.5,18,Ahmedabad,Mid-range,2K-5K
Hotel ABC,"Satellite, Ahmedabad",1333,2.5,22,Ahmedabad,Budget,0-2K
HOTEL ASIANA,"Motera, Ahmedabad",1579,4.5,37,Ahmedabad,Budget,0-2K
Comfort Inn sapphire Chandkheda,"Chandkheda, Ahmedabad",3065,2.5,37,Ahmedabad,Mid-range,2K-5K
Hotel Elysian Residency,"Shahibaug, Ahmedabad",3486,4.5,59,Ahmedabad,Mid-range,2K-5K
Treebo Grand Shivay,"Geeta Mandir Road, Ahmedabad",1452,2.5,67,Ahmedabad,Budget,0-2K
SRTC Hotel Aspire,"Ashram Road, Ahmedabad",2971,2.5,13,Ahmedabad,Mid-range,2K-5K
HOTEL BLUE SKY,Ahmedabad,2263,2.5,19,Ahmedabad,Mid-range,2K-5K
Treebo Prince Plaza,"Prahlad Nagar, Ahmedabad",1994,2.5,63,Ahmedabad,Budget,0-2K
Bloom Hotel SG Highway,"Sola, Ahmedabad",4491,2.5,21,Ahmedabad,Mid-range,2K-5K
"Itsy Hotels Signature, Nehru Nagar","Ambawadi, Ahmedabad",1793,2.5,64,Ahmedabad,Budget,0-2K
Treebo The Square,"Ranip, Ahmedabad",1403,2.5,64,Ahmedabad,Budget,0-2K
Hotel Lux Inn,"Sarkhej Gandhinagar Highway, Ahmedabad",1677,4.6,33,Ahmedabad,Budget,0-2K
Hotel Suncity,"Chandkheda, Ahmedabad",20000,2.5,33,Ahmedabad,Luxury,10K+
Hotel Krishna Palace Vastrapur,"Vastrapur, Ahmedabad",2184,2.5,13,Ahmedabad,Mid-range,2K-5K
FabHotel Symphony Grand,Ahmedabad,2772,2.5,13,Ahmedabad,Mid-range,2K-5K
FabHotel NY Townhouse,Ahmedabad,4476,2.5,13,Ahmedabad,Mid-range,2K-5K
FabHotel Raj Ratna,Ahmedabad,2917,2.5,13,Ahmedabad,Mid-range,2K-5K
Itsy Hotels Shree Krishna Palace,"Sg Highway Ahmedabad, Ahmedabad",2892,2.5,52,Ahmedabad,Mid-range,2K-5K
Hotel Shivaay,"Visat-tapovan Road, Ahmedabad",1777,2.5,19,Ahmedabad,Budget,0-2K
Hotel Casa Blanca,"Thaltej, Ahmedabad",2738,4.2,22,Ahmedabad,Mid-range,2K-5K
Pinnacle Grand Hotel & Banquets,"Sola, Ahmedabad",4009,2.5,20,Ahmedabad,Mid-range,2K-5K
Hotel Prime Villa,"Memnagar, Ahmedabad",1999,2.5,20,Ahmedabad,Budget,0-2K
Super Collection O Airport Road Formerly Hotel Kyra,Ahmedabad,1467,2.5,15,Ahmedabad,Budget,0-2K
Super Collection O Maninagar Formerly Park Land,Ahmedabad,1161,2.5,14,Ahmedabad,Budget,0-2K
Biznotel by Pride Motera,"Motera, Ahmedabad",5332,2.5,20,Ahmedabad,Luxury,5K-10K
Hotel Phoneix,"Chandkheda, Ahmedabad",1295,2.5,19,Ahmedabad,Budget,0-2K
Hotel Avens Inn,"Chandkheda, Ahmedabad",957,2.5,13,Ahmedabad,Budget,0-2K
TreeHouse Morina,Ahmedabad,2728,2.5,42,Ahmedabad,Mid-range,2K-5K
FabHotel Apollo,Ahmedabad,3514,2.5,13,Ahmedabad,Mid-range,2K-5K
